evid,Time,Latitude,Longitude,Depth,Magnitude
123,2021-02-02 17:38:47.020000,45.7593,11.004,8.46,1.14
124,2021-02-02 21:36:34.860000,46.1135,12.3278,14.67,0.82
125,2021-02-03 00:54:03.960000,46.1145,12.3705,11.59,0.91
126,2021-02-03 15:26:51.280000,45.5798,10.5108,7.22,2.08
127,2021-02-03 16:36:22.270000,46.3432,13.0712,4.16,1.01
128,2021-02-04 12:37:07.410000,46.508,13.477,5.43,0.79
129,2021-02-05 04:49:51.480000,45.9395,11.3123,4.81,0.51
130,2021-02-05 09:17:09.840000,44.7073,11.5733,11.73,2.45
131,2021-02-05 09:48:38.260000,46.5683,11.3432,11.58,0.68
132,2021-02-06 15:24:33.220000,45.9747,13.4092,13.97,1.23
133,2021-02-06 19:00:36.350000,46.2928,12.602,6.96,0.74
134,2021-02-07 03:14:50.700000,46.5873,10.3067,4.28,1.3
135,2021-02-08 16:46:38.990000,45.2275,11.0382,16.12,2.1
136,2021-02-09 10:14:39.390000,45.5347,10.8197,7.37,1.16
137,2021-02-09 13:23:57.900000,46.3405,13.2222,4.43,1.36
138,2021-02-10 21:31:34.120000,45.8225,11.023,13.68,1.3
139,2021-02-11 15:54:04.820000,46.5278,12.424,6.6,2.25
140,2021-02-12 00:54:37.870000,46.4828,12.6907,3.96,1.13
141,2021-02-12 17:13:48.660000,45.9275,13.8653,13.89,1.97
142,2021-02-13 07:51:13.820000,46.3947,12.978,4.58,0.99
143,2021-02-14 02:33:42.090000,46.5323,9.5555,12.5,2.19
144,2021-02-14 06:38:59.820000,45.7943,12.2102,8,1.61
145,2021-02-14 06:45:54.470000,45.7217,14.3472,13.2,1.46
146,2021-02-15 13:29:39.030000,46.4455,13.8143,9.73,1.2
147,2021-02-15 23:35:30.740000,46.2728,12.6847,7.91,0.97
148,2021-02-16 00:21:06.980000,45.8718,14.1672,14.26,1.72
149,2021-02-16 02:28:44.100000,46.0725,14.202,13.47,2.12
150,2021-02-16 06:33:31.260000,46.0385,10.5785,7.58,0.82
151,2021-02-16 07:04:05.610000,46.213,12.324,11.94,0.72
152,2021-02-16 12:40:19.560000,46.0522,10.5845,4.79,0.77
153,2021-02-16 12:47:26.980000,46.0512,14.1387,8.01,1.62
154,2021-02-16 12:54:31.940000,46.1458,12.3615,7,1.14
155,2021-02-16 17:41:45.690000,45.6735,10.053,20.01,2.57
156,2021-02-16 23:33:07.850000,46.4083,12.9552,12.74,0.55
157,2021-02-17 01:29:06.050000,44.4475,11.6675,41.04,2.62
158,2021-02-17 08:18:19.600000,46.1925,12.4503,9.77,0.9
159,2021-02-17 13:12:00.700000,45.3877,14.3293,7.93,1.94
160,2021-02-17 14:02:42.100000,46.613,10.4882,4.48,1.05
161,2021-02-18 08:39:55.880000,45.9313,14.3133,6.92,1.51
162,2021-02-18 08:52:06.910000,46.3927,12.9773,3.11,0.63
163,2021-02-18 12:37:11.530000,46.2945,13.28,9.79,0.83
164,2021-02-19 01:04:40.780000,46.4345,13.0242,9.82,1.22
165,2021-02-19 06:27:28.140000,46.5332,13.144,4.18,0.85
166,2021-02-19 08:29:44.080000,46.2638,12.5392,8.31,0.53
167,2021-02-19 13:26:31.880000,45.7867,11.115,18.23,1.68
168,2021-02-20 03:53:40.580000,46.319,13.6127,7.6,1.26
169,2021-02-20 13:47:59.010000,46.2917,12.5715,7.22,1.54
170,2021-02-21 03:21:59.400000,46.0363,10.585,4.55,0.58
171,2021-02-21 04:29:13.350000,46.074,12.1117,2.93,0.73
172,2021-02-21 05:26:40.310000,46.3558,13.1668,12.77,1.64
173,2021-02-21 09:24:06.870000,46.0107,10.733,8.24,1.02
174,2021-02-21 11:40:19.460000,46.4317,13.0242,9.27,0.83
175,2021-02-21 13:06:33.550000,45.3157,11.0592,10.29,1.78
176,2021-02-21 19:46:04.760000,45.8698,12.0532,12.53,0.87
177,2021-02-21 20:55:31.210000,46.218,12.5013,8.04,0.64
178,2021-02-22 12:04:06.710000,45.7842,10.9843,11.58,3.62
179,2021-02-22 12:12:57.610000,45.7763,10.9883,10.75,0.87
180,2021-02-22 12:41:00.160000,45.7818,10.9935,10.82,2.56
181,2021-02-22 13:06:36.930000,45.7828,10.9878,10.61,0.92
182,2021-02-22 13:30:07.460000,45.7883,10.9845,10.66,2.56
183,2021-02-22 14:48:51.620000,45.796,11.0023,8.53,0.82
184,2021-02-22 16:23:40.570000,46.493,12.6972,7.73,0.92
185,2021-02-22 17:38:53.380000,45.786,10.992,10.53,1.79
186,2021-02-22 18:41:52.790000,45.793,11.0105,8.14,0.6
187,2021-02-22 22:51:10.410000,45.78,10.9992,9.19,1.51
188,2021-02-22 23:15:48.120000,45.7973,11.0088,7.24,0.62
189,2021-02-22 23:46:19.070000,46.3332,13.5877,10.04,0.96
190,2021-02-23 00:34:53.720000,46.537,10.5995,9.76,1.37
191,2021-02-23 14:38:10.280000,46.3257,9.846,9.9,1.83
192,2021-02-23 19:58:01.220000,46.3003,13.2568,2.7,0.77
193,2021-02-23 20:21:58.200000,45.7753,11.0083,10.65,0.71
194,2021-02-23 21:19:41.850000,45.7815,11.0027,9.83,1.4
195,2021-02-23 22:44:02.680000,45.7972,11.0002,9.06,0.56
196,2021-02-24 00:47:37.960000,46.1205,12.3592,10.29,0.87
197,2021-02-24 01:57:01.510000,45.7847,10.9965,9.93,1.04
198,2021-02-24 07:20:53.350000,46.4797,12.9202,2.33,0.98
199,2021-02-24 11:48:24.690000,46.1275,14.0342,9.81,1.3
200,2021-02-24 18:58:20.800000,45.83,10.6445,11.6,1.29
201,2021-02-24 19:21:15.030000,46.2977,12.7398,4.13,1.36
202,2021-02-24 21:33:54.450000,45.8358,10.6417,9.24,0.73
203,2021-02-24 21:51:39.620000,45.8308,10.6405,10.6,0.74
204,2021-02-24 22:20:00.230000,46.4638,12.6433,6.41,0.76
205,2021-02-25 04:22:23.750000,46.2658,13.2317,7.55,0.81
206,2021-02-25 05:03:02.730000,46.3415,13.2307,5.14,0.67
207,2021-02-25 07:35:37.670000,45.8013,11.5848,7.06,1.22
208,2021-02-25 20:57:06.090000,46.0488,10.5608,2.13,0.86
209,2021-02-26 09:52:25.610000,46.5402,10.6098,10.65,1.52
210,2021-02-26 10:00:53.020000,46.5412,10.6077,9.73,1.53
211,2021-02-26 10:43:34.140000,46.3132,12.6723,10.26,0.99
212,2021-02-26 11:18:12.390000,46.2902,13.6582,7.46,1.79
213,2021-02-26 15:16:22.330000,45.778,10.9973,10.13,1.16
214,2021-02-26 22:33:02.050000,46.0482,11.8203,7.1,0.87
215,2021-02-27 22:50:25.180000,44.9895,10.8025,20.29,2.06
216,2021-02-28 05:35:00.570000,45.7943,10.8302,5.45,1.28
217,2021-03-01 03:42:39.160000,46.472,13.5012,7.31,0.5
218,2021-03-01 10:05:39.150000,46.0428,12.4303,12.3,0.7
219,2021-03-01 23:34:57.340000,46.1418,12.3745,12.27,0.66
220,2021-03-02 03:12:08.710000,45.7608,11.0842,8.25,1.34
221,2021-03-02 13:18:44.670000,45.008,11.103,38.29,2.43
222,2021-03-02 20:20:35.300000,46.3003,13.1655,3.85,0.64
223,2021-03-02 20:38:14.770000,46.454,13.115,8.35,1.5
224,2021-03-02 20:40:21.440000,46.3583,10.8503,10.65,0.69
225,2021-03-02 20:41:59.550000,46.4537,13.114,9.17,0.5
226,2021-03-02 20:47:36.910000,45.8728,11.739,14.25,1.55
227,2021-03-02 21:14:17.690000,46.4538,13.1122,8.97,1.11
228,2021-03-02 21:51:58.820000,46.453,13.1142,7.94,1.34
229,2021-03-02 22:25:02.110000,46.4522,13.1112,7.45,0.63
230,2021-03-02 22:33:15.390000,46.4535,13.108,6.93,0.63
231,2021-03-02 22:35:59.590000,46.4562,13.113,9.2,0.72
232,2021-03-02 22:36:48.660000,46.4537,13.114,8.29,0.98
233,2021-03-02 22:45:19.490000,46.4465,13.122,6.19,0.62
234,2021-03-02 23:11:59.570000,46.4535,13.1127,8.57,0.74
